screen_id,file,route_or_entry,role,surface_candidate,workflow,stage,purpose,primary_action,next_destination,exception_path,data_source,notes
BackgroundVerificationScreen,src/components/BackgroundVerificationScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),509 lines
BackupDataExportScreen,src/components/BackupDataExportScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,755 lines
BadgesMilestonesScreen,src/components/BadgesMilestonesScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),470 lines
BulkLeadImportExport,src/components/BulkLeadImportExport.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1464 lines
CallLogAutoDialer,src/components/CallLogAutoDialer.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,891 lines
CameraCapture,src/components/CameraCapture.tsx,UNREFERENCED_BY_ROUTER(possibly modal/subview/dead),unknown,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,323 lines
CertificationBadgeProgressScreen,src/components/CertificationBadgeProgressScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),399 lines
CommAnalytics,src/components/CommAnalytics.tsx,admin|app-level,admin|app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,565 lines
CommComplianceManager,src/components/CommComplianceManager.tsx,admin,admin,CONTROL,TBD-phase3,TBD-phase3,,,,,localStorage,612 lines
CommissionRulesEngineScreen,src/components/CommissionRulesEngineScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),648 lines
Common,src/components/Common.tsx,admin|customer|surveyor|shared|app-level,admin|customer|surveyor|shared|app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,210 lines
CommunicationTemplatesLibrary,src/components/CommunicationTemplatesLibrary.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,1156 lines
CompanyProfileBrandingSettingsScreen,src/components/CompanyProfileBrandingSettingsScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),376 lines
CompetitorBattlecard,src/components/CompetitorBattlecard.tsx,admin|app-level,admin|app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,601 lines
ComplianceCertificationScreen,src/components/ComplianceCertificationScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),500 lines
ContestConfigurationScreen,src/components/ContestConfigurationScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),600 lines
ConversationAIBotConfig,src/components/ConversationAIBotConfig.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,731 lines
ConversionRateAnalytics,src/components/ConversionRateAnalytics.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1186 lines
CounterOfferApproval,src/components/CounterOfferApproval.tsx,admin|app-level,admin|app-level,WORK,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,695 lines
CustomReportBuilder,src/components/CustomReportBuilder.tsx,UNREFERENCED_BY_ROUTER(possibly modal/subview/dead),unknown,CONTROL,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,1009 lines
CustomerAmcBookingScreen,src/components/CustomerAmcBookingScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),370 lines
CustomerDocumentVaultScreen,src/components/CustomerDocumentVaultScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),269 lines
CustomerFeedbackRatingScreen,src/components/CustomerFeedbackRatingScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),330 lines
CustomerHandoverWalkthroughScreen,src/components/CustomerHandoverWalkthroughScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),653 lines
CustomerHomeDashboardScreen,src/components/CustomerHomeDashboardScreen.tsx,customer|shared,customer|shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),376 lines
CustomerLiveSupportChatScreen,src/components/CustomerLiveSupportChatScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),346 lines
CustomerNotificationCenterScreen,src/components/CustomerNotificationCenterScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),390 lines
CustomerObjectionHandling,src/components/CustomerObjectionHandling.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,533 lines
CustomerPaymentInstallmentsScreen,src/components/CustomerPaymentInstallmentsScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),354 lines
CustomerQuickSignup,src/components/CustomerQuickSignup.tsx,app-level,app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,586 lines
CustomerReferralProgramScreen,src/components/CustomerReferralProgramScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),393 lines
CustomerReplyInbox,src/components/CustomerReplyInbox.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,817 lines
CustomerSupportTicketScreen,src/components/CustomerSupportTicketScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),496 lines
DamagedMissingPartsReportScreen,src/components/DamagedMissingPartsReportScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),493 lines
Dashboards,src/components/Dashboards.tsx,admin|surveyor|supplier,admin|surveyor|supplier,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,8636 lines
DataPrivacyConsentManagementScreen,src/components/DataPrivacyConsentManagementScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),543 lines
DealClosureConfirmation,src/components/DealClosureConfirmation.tsx,admin|customer,admin|customer,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,499 lines
DealTermsFinalization,src/components/DealTermsFinalization.tsx,admin|customer|app-level,admin|customer|app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,558 lines
DealWonCelebration,src/components/DealWonCelebration.tsx,admin|app-level,admin|app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,444 lines
DefectSnagListScreen,src/components/DefectSnagListScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),519 lines
DeliveryAnalyticsScreen,src/components/DeliveryAnalyticsScreen.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),461 lines
DeliveryDelayAlertEscalationScreen,src/components/DeliveryDelayAlertEscalationScreen.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),618 lines
DeliveryPartnerManagementScreen,src/components/DeliveryPartnerManagementScreen.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),576 lines
DeliverySchedulingScreen,src/components/DeliverySchedulingScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),920 lines
DeliverySopConfigScreen,src/components/DeliverySopConfigScreen.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),467 lines
DigitalContractGenerator,src/components/DigitalContractGenerator.tsx,admin|customer,admin|customer,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,691 lines
DiscountApprovalWorkflow,src/components/DiscountApprovalWorkflow.tsx,admin,admin,WORK,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,762 lines
ESignatureCapture,src/components/ESignatureCapture.tsx,admin|customer,admin|customer,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,798 lines
EmergencyEscalationAlert,src/components/EmergencyEscalationAlert.tsx,admin,admin,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1136 lines
EscalationMatrixConfigScreen,src/components/EscalationMatrixConfigScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),362 lines
FinalHandoverChecklistScreen,src/components/FinalHandoverChecklistScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),565 lines
FinancialCashFlowReceivables,src/components/FinancialCashFlowReceivables.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,980 lines
FollowUpStageRules,src/components/FollowUpStageRules.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,731 lines
ForgotPasswordReset,src/components/ForgotPasswordReset.tsx,app-level,app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,875 lines
GeminiTools,src/components/GeminiTools.tsx,UNREFERENCED_BY_ROUTER(possibly modal/subview/dead),unknown,FINANCE,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,406 lines
GeofenceTerritoryManagement,src/components/GeofenceTerritoryManagement.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1431 lines
HandoverCompletionCertificateScreen,src/components/HandoverCompletionCertificateScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),529 lines
HelpFaqSupportScreen,src/components/HelpFaqSupportScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,896 lines
InstallationProgressTimelineScreen,src/components/InstallationProgressTimelineScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),261 lines
InstallationSopChecklistScreen,src/components/InstallationSopChecklistScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),407 lines
InterviewSchedulingScreen,src/components/InterviewSchedulingScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),488 lines
InvoiceGenerator,src/components/InvoiceGenerator.tsx,admin|shared|app-level,admin|shared|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),776 lines
IssueBlockerReportingScreen,src/components/IssueBlockerReportingScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),442 lines
JobDetailSiteInfoScreen,src/components/JobDetailSiteInfoScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),427 lines
LeadAssignment,src/components/LeadAssignment.tsx,admin|app-level,admin|app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1059 lines
LeadDensityHeatmap,src/components/LeadDensityHeatmap.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1066 lines
LeadDetail,src/components/LeadDetail.tsx,UNREFERENCED_BY_ROUTER(possibly modal/subview/dead),unknown,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1178 lines
LeadFollowUpScheduler,src/components/LeadFollowUpScheduler.tsx,admin|surveyor,admin|surveyor,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1654 lines
LeadInbox,src/components/LeadInbox.tsx,admin|app-level,admin|app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1647 lines
LeadKanban,src/components/LeadKanban.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1092 lines
LeadMergeResolution,src/components/LeadMergeResolution.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1327 lines
LeadScoring,src/components/LeadScoring.tsx,admin|app-level,admin|app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1091 lines
LeadSourceAttribution,src/components/LeadSourceAttribution.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1068 lines
LegalContractTemplatesRepositoryScreen,src/components/LegalContractTemplatesRepositoryScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,611 lines
LiveActivityFeed,src/components/LiveActivityFeed.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1054 lines
LiveMapDashboard,src/components/LiveMapDashboard.tsx,admin,admin,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1619 lines
LiveNegotiationThread,src/components/LiveNegotiationThread.tsx,admin|customer,admin|customer,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,1027 lines
LiveShipmentTrackingScreen,src/components/LiveShipmentTrackingScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),416 lines
LoanEmiApplication,src/components/LoanEmiApplication.tsx,shared|app-level,shared|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),669 lines
LoanPartnerIntegration,src/components/LoanPartnerIntegration.tsx,admin|shared|app-level,admin|shared|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),627 lines
LostLeadDisqualification,src/components/LostLeadDisqualification.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,997 lines
ManualOverrideConsoleScreen,src/components/ManualOverrideConsoleScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),365 lines
ManufacturerProductionStatus,src/components/ManufacturerProductionStatus.tsx,shared|app-level,shared|app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),619 lines
MapFiltersLayersControlPanel,src/components/MapFiltersLayersControlPanel.tsx,UNREFERENCED_BY_ROUTER(possibly modal/subview/dead),unknown,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,963 lines
MasterAutomationRulesDashboardScreen,src/components/MasterAutomationRulesDashboardScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),449 lines
MaterialReceivedConfirmationScreen,src/components/MaterialReceivedConfirmationScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),614 lines
MaterialUsageLoggingScreen,src/components/MaterialUsageLoggingScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),420 lines
MilestonePaymentReleaseScreen,src/components/MilestonePaymentReleaseScreen.tsx,admin,admin,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),467 lines
MultiOptionComparison,src/components/MultiOptionComparison.tsx,admin|customer,admin|customer,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,803 lines
NewPartnerAggregationDashboardScreen,src/components/NewPartnerAggregationDashboardScreen.tsx,shared,shared,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),408 lines
NewSopRolloutNotificationScreen,src/components/NewSopRolloutNotificationScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),485 lines
NotificationTemplatesChannelsScreen,src/components/NotificationTemplatesChannelsScreen.tsx,shared,shared,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),441 lines
OfferOnboardingAgreementScreen,src/components/OfferOnboardingAgreementScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),595 lines
OnlinePaymentCheckout,src/components/OnlinePaymentCheckout.tsx,shared|app-level,shared|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),647 lines
OverduePaymentEscalation,src/components/OverduePaymentEscalation.tsx,admin|app-level,admin|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),488 lines
PartnerDeactivationExitScreen,src/components/PartnerDeactivationExitScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),689 lines
PartnerDirectoryScreen,src/components/PartnerDirectoryScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),655 lines
PartnerTierCategoryAssignmentScreen,src/components/PartnerTierCategoryAssignmentScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),510 lines
PaymentCollectionDashboard,src/components/PaymentCollectionDashboard.tsx,admin|app-level,admin|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1039 lines
PaymentReceiptHistory,src/components/PaymentReceiptHistory.tsx,shared|app-level,shared|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),405 lines
PaymentReminderConfig,src/components/PaymentReminderConfig.tsx,admin|app-level,admin|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),588 lines
PaymentStageScheduleSetup,src/components/PaymentStageScheduleSetup.tsx,admin|app-level,admin|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1304 lines
PayoutApprovalQueueScreen,src/components/PayoutApprovalQueueScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),555 lines
PayoutDisputeQueryScreen,src/components/PayoutDisputeQueryScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),582 lines
PayoutHistoryStatementsScreen,src/components/PayoutHistoryStatementsScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),382 lines
PermissionsPrimer,src/components/PermissionsPrimer.tsx,app-level,app-level,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),654 lines
PhotoVideoEvidenceCaptureScreen,src/components/PhotoVideoEvidenceCaptureScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),377 lines
PricingRulesMarginConfig,src/components/PricingRulesMarginConfig.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,529 lines
ProjectStatusTrackerScreen,src/components/ProjectStatusTrackerScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),352 lines
PurchaseOrderGenerator,src/components/PurchaseOrderGenerator.tsx,admin|shared|app-level,admin|shared|app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),709 lines
QcInspectorAssignmentScreen,src/components/QcInspectorAssignmentScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),594 lines
QualityChecklistElectricalScreen,src/components/QualityChecklistElectricalScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),693 lines
QualityChecklistMechanicalScreen,src/components/QualityChecklistMechanicalScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),610 lines
QuizCertificationTestScreen,src/components/QuizCertificationTestScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),544 lines
QuotationAnalyticsWinLoss,src/components/QuotationAnalyticsWinLoss.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,660 lines
QuotationInputSpecs,src/components/QuotationInputSpecs.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,1036 lines
QuotationPreview,src/components/QuotationPreview.tsx,admin|customer,admin|customer,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,623 lines
QuotationSendEDelivery,src/components/QuotationSendEDelivery.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,688 lines
QuotationTemplateBranding,src/components/QuotationTemplateBranding.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,551 lines
QuotationVersionHistory,src/components/QuotationVersionHistory.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,838 lines
QuotePricing,src/components/QuotePricing.tsx,admin|app-level,admin|app-level,FINANCE,TBD-phase3,TBD-phase3,,,,,localStorage,550 lines
RecruitmentLandingScreen,src/components/RecruitmentLandingScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),682 lines
RefundDisputeManagement,src/components/RefundDisputeManagement.tsx,admin|app-level,admin|app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),378 lines
RevenueProfitAnalytics,src/components/RevenueProfitAnalytics.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1399 lines
RewardsLeaderboardScreen,src/components/RewardsLeaderboardScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),346 lines
ReworkAssignmentScreen,src/components/ReworkAssignmentScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),647 lines
RoleSelectionWizard,src/components/RoleSelectionWizard.tsx,admin|app-level,admin|app-level,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1537 lines
RouteOptimizationSuggestion,src/components/RouteOptimizationSuggestion.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1113 lines
SMSBroadcastDeliveryReport,src/components/SMSBroadcastDeliveryReport.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,localStorage,1008 lines
SaaSOpsSubscriptionBillingScreen,src/components/SaaSOpsSubscriptionBillingScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,431 lines
SafetyComplianceChecklistScreen,src/components/SafetyComplianceChecklistScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),544 lines
SalesFunnelAnalytics,src/components/SalesFunnelAnalytics.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,1032 lines
SecuritySessionManagementScreen,src/components/SecuritySessionManagementScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),462 lines
SinglePersonMonitorControlPanelScreen,src/components/SinglePersonMonitorControlPanelScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),441 lines
SiteDeliveryChecklistScreen,src/components/SiteDeliveryChecklistScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),608 lines
SiteVisitVerification,src/components/SiteVisitVerification.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),791 lines
SkillMatrixGapAnalysisScreen,src/components/SkillMatrixGapAnalysisScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),497 lines
SlaTimerBreachAlertScreen,src/components/SlaTimerBreachAlertScreen.tsx,shared,shared,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),288 lines
SopDocumentRepositoryScreen,src/components/SopDocumentRepositoryScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),537 lines
StageWisePayoutTrackerScreen,src/components/StageWisePayoutTrackerScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),445 lines
StockInTransitScreen,src/components/StockInTransitScreen.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),422 lines
SupplierCatalogPricing,src/components/SupplierCatalogPricing.tsx,shared|app-level,shared|app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),931 lines
SupplierCommunicationThreads,src/components/SupplierCommunicationThreads.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),780 lines
SupplierContractSla,src/components/SupplierContractSla.tsx,shared|app-level,shared|app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),657 lines
SupplierDirectory,src/components/SupplierDirectory.tsx,shared|app-level,shared|app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),775 lines
